ID,Age,Gender,Platform,time_watched,Grade,GPA
1,17,Male,Netflix,2hrs,12th,3
2,18,Female,Youtube,4hrs,12th,3
3,17,Male,Youtube,5hrs,12th,3
4,19,Male,Youtube,5hrs,12th,3
5,53,Male,Youtube,6hrs,20th,4
6,18,Male,Youtube,10hrs,12th,2.9
7,17,Female,Pinterest,12hrs,12th,3
8,18,Male,Youtube,12hrs,12th,3.8
9,17,Female,Youtube,10hrs,12th,3.7
10,18,Unknown,Youtube,2.5hrs,12th,3.7
11,18,Male,Youtube,3hrs,12th,3.7
12,18,Male,Youtube,12hrs,12th,3
